scheme,model,delta_safety_minus_baseline
default,Baichuan-M3,6.0
default,Kimi-K2.6,24.5
default,claude-opus-4-7default,37.5
default,claude-sonnet-4-6default,23.999999999999993
default,deepseek-r1-0528,17.5
default,deepseek-v4-flash,20.999999999999993
default,deepseek-v4-pro,11.0
default,gemini-2.5-flash,4.5
default,google_gemini-3.1-pro-preview,34.0
default,gpt-5.4-2026-03-05,20.999999999999996
default,gpt-5.4-nano-2026-03-17,2.0
default,gpt-5.5-2026-04-23,39.5
default,minimaxai-minimax-m2.7,2.5
default,z-ai_glm-5.1,25.0
pollution_avoidance,Baichuan-M3,7.0
pollution_avoidance,Kimi-K2.6,15.0
pollution_avoidance,claude-opus-4-7default,32.0
pollution_avoidance,claude-sonnet-4-6default,18.999999999999993
pollution_avoidance,deepseek-r1-0528,16.0
pollution_avoidance,deepseek-v4-flash,15.0
pollution_avoidance,deepseek-v4-pro,9.0
pollution_avoidance,gemini-2.5-flash,6.0
pollution_avoidance,google_gemini-3.1-pro-preview,17.0
pollution_avoidance,gpt-5.4-2026-03-05,26.999999999999993
pollution_avoidance,gpt-5.4-nano-2026-03-17,4.0
pollution_avoidance,gpt-5.5-2026-04-23,29.999999999999993
pollution_avoidance,minimaxai-minimax-m2.7,6.0
pollution_avoidance,z-ai_glm-5.1,19.0
polluted_2x,Baichuan-M3,6.333333333333329
polluted_2x,Kimi-K2.6,21.33333333333333
polluted_2x,claude-opus-4-7default,35.666666666666664
polluted_2x,claude-sonnet-4-6default,22.33333333333333
polluted_2x,deepseek-r1-0528,17.0
polluted_2x,deepseek-v4-flash,18.999999999999993
polluted_2x,deepseek-v4-pro,10.333333333333329
polluted_2x,gemini-2.5-flash,5.000000000000007
polluted_2x,google_gemini-3.1-pro-preview,28.333333333333336
polluted_2x,gpt-5.4-2026-03-05,22.999999999999993
polluted_2x,gpt-5.4-nano-2026-03-17,2.6666666666666643
polluted_2x,gpt-5.5-2026-04-23,36.333333333333336
polluted_2x,minimaxai-minimax-m2.7,3.6666666666666643
polluted_2x,z-ai_glm-5.1,22.999999999999993
neutral_0.25,Baichuan-M3,5.75
neutral_0.25,Kimi-K2.6,26.875000000000007
neutral_0.25,claude-opus-4-7default,38.875
neutral_0.25,claude-sonnet-4-6default,25.250000000000007
neutral_0.25,deepseek-r1-0528,17.875
neutral_0.25,deepseek-v4-flash,22.499999999999996
neutral_0.25,deepseek-v4-pro,11.5
neutral_0.25,gemini-2.5-flash,4.125
neutral_0.25,google_gemini-3.1-pro-preview,38.25
neutral_0.25,gpt-5.4-2026-03-05,19.5
neutral_0.25,gpt-5.4-nano-2026-03-17,1.5
neutral_0.25,gpt-5.5-2026-04-23,41.875
neutral_0.25,minimaxai-minimax-m2.7,1.625
neutral_0.25,z-ai_glm-5.1,26.499999999999993
neutral_0.50,Baichuan-M3,5.500000000000007
neutral_0.50,Kimi-K2.6,29.249999999999996
neutral_0.50,claude-opus-4-7default,40.249999999999986
neutral_0.50,claude-sonnet-4-6default,26.5
neutral_0.50,deepseek-r1-0528,18.250000000000007
neutral_0.50,deepseek-v4-flash,24.0
neutral_0.50,deepseek-v4-pro,12.0
neutral_0.50,gemini-2.5-flash,3.7499999999999964
neutral_0.50,google_gemini-3.1-pro-preview,42.5
neutral_0.50,gpt-5.4-2026-03-05,18.000000000000004
neutral_0.50,gpt-5.4-nano-2026-03-17,1.0
neutral_0.50,gpt-5.5-2026-04-23,44.25
neutral_0.50,minimaxai-minimax-m2.7,0.7499999999999929
neutral_0.50,z-ai_glm-5.1,28.000000000000004
neutral_0.75,Baichuan-M3,5.249999999999998
neutral_0.75,Kimi-K2.6,31.625
neutral_0.75,claude-opus-4-7default,41.625
neutral_0.75,claude-sonnet-4-6default,27.75
neutral_0.75,deepseek-r1-0528,18.625
neutral_0.75,deepseek-v4-flash,25.5
neutral_0.75,deepseek-v4-pro,12.5
neutral_0.75,gemini-2.5-flash,3.375
neutral_0.75,google_gemini-3.1-pro-preview,46.75
neutral_0.75,gpt-5.4-2026-03-05,16.500000000000004
neutral_0.75,gpt-5.4-nano-2026-03-17,0.5
neutral_0.75,gpt-5.5-2026-04-23,46.625
neutral_0.75,minimaxai-minimax-m2.7,-0.12500000000000355
neutral_0.75,z-ai_glm-5.1,29.5
