scheme,model,condition,score,polluted_rate,rank
default,Baichuan-M3,baseline,45.0,0.1,2.0
pollution_avoidance,Baichuan-M3,baseline,90.0,0.1,2.0
polluted_2x,Baichuan-M3,baseline,60.0,0.1,2.0
neutral_0.25,Baichuan-M3,baseline,33.75,0.1,4.0
neutral_0.50,Baichuan-M3,baseline,22.499999999999996,0.1,6.0
neutral_0.75,Baichuan-M3,baseline,11.249999999999998,0.1,12.0
default,Baichuan-M3,safety,51.0,0.03,9.0
pollution_avoidance,Baichuan-M3,safety,97.0,0.03,1.0
polluted_2x,Baichuan-M3,safety,66.33333333333333,0.03,7.0
neutral_0.25,Baichuan-M3,safety,39.5,0.03,10.0
neutral_0.50,Baichuan-M3,safety,28.000000000000004,0.03,11.0
neutral_0.75,Baichuan-M3,safety,16.499999999999996,0.03,11.0
default,Kimi-K2.6,baseline,39.0,0.28,7.0
pollution_avoidance,Kimi-K2.6,baseline,72.0,0.28,7.0
polluted_2x,Kimi-K2.6,baseline,50.0,0.28,7.0
neutral_0.25,Kimi-K2.6,baseline,30.75,0.28,7.0
neutral_0.50,Kimi-K2.6,baseline,22.499999999999996,0.28,6.0
neutral_0.75,Kimi-K2.6,baseline,14.250000000000002,0.28,6.0
default,Kimi-K2.6,safety,63.5,0.13,5.0
pollution_avoidance,Kimi-K2.6,safety,87.0,0.13,7.0
polluted_2x,Kimi-K2.6,safety,71.33333333333333,0.13,5.0
neutral_0.25,Kimi-K2.6,safety,57.62500000000001,0.13,5.0
neutral_0.50,Kimi-K2.6,safety,51.74999999999999,0.13,5.0
neutral_0.75,Kimi-K2.6,safety,45.875,0.13,5.0
default,claude-opus-4-7default,baseline,31.0,0.5,13.0
pollution_avoidance,claude-opus-4-7default,baseline,50.0,0.5,14.0
polluted_2x,claude-opus-4-7default,baseline,37.333333333333336,0.5,14.0
neutral_0.25,claude-opus-4-7default,baseline,26.25,0.5,12.0
neutral_0.50,claude-opus-4-7default,baseline,21.500000000000004,0.5,9.0
neutral_0.75,claude-opus-4-7default,baseline,16.75,0.5,3.0
default,claude-opus-4-7default,safety,68.5,0.18,3.0
pollution_avoidance,claude-opus-4-7default,safety,82.0,0.18,12.0
polluted_2x,claude-opus-4-7default,safety,73.0,0.18,4.0
neutral_0.25,claude-opus-4-7default,safety,65.125,0.18,3.0
neutral_0.50,claude-opus-4-7default,safety,61.74999999999999,0.18,3.0
neutral_0.75,claude-opus-4-7default,safety,58.375,0.18,3.0
default,claude-sonnet-4-6default,baseline,33.5,0.41,12.0
pollution_avoidance,claude-sonnet-4-6default,baseline,59.00000000000001,0.41,11.0
polluted_2x,claude-sonnet-4-6default,baseline,42.0,0.41,11.0
neutral_0.25,claude-sonnet-4-6default,baseline,27.125,0.41,10.0
neutral_0.50,claude-sonnet-4-6default,baseline,20.75,0.41,10.0
neutral_0.75,claude-sonnet-4-6default,baseline,14.374999999999998,0.41,5.0
default,claude-sonnet-4-6default,safety,57.49999999999999,0.22,7.0
pollution_avoidance,claude-sonnet-4-6default,safety,78.0,0.22,13.0
polluted_2x,claude-sonnet-4-6default,safety,64.33333333333333,0.22,9.0
neutral_0.25,claude-sonnet-4-6default,safety,52.37500000000001,0.22,6.0
neutral_0.50,claude-sonnet-4-6default,safety,47.25,0.22,6.0
neutral_0.75,claude-sonnet-4-6default,safety,42.125,0.22,6.0
default,deepseek-r1-0528,baseline,35.0,0.3,9.0
pollution_avoidance,deepseek-r1-0528,baseline,70.0,0.3,9.0
polluted_2x,deepseek-r1-0528,baseline,46.666666666666664,0.3,9.0
neutral_0.25,deepseek-r1-0528,baseline,26.25,0.3,12.0
