model,baseline_n,baseline_polluted,baseline_neutral,baseline_recognised,baseline_polluted_rate,baseline_neutral_rate,baseline_recognised_rate,baseline_normalised_score,baseline_antipollution_rate,safety_n,safety_polluted,safety_neutral,safety_recognised,safety_polluted_rate,safety_neutral_rate,safety_recognised_rate,safety_normalised_score,safety_antipollution_rate,delta_norm,delta_poll,delta_recognised,wilcoxon_w,wilcoxon_p,ci_method,rerun_groups,delta_norm_ci_low,delta_norm_ci_high,delta_poll_ci_low,delta_poll_ci_high,delta_rec_ci_low,delta_rec_ci_high,wilcoxon_q_bh
gpt-5.5-2026-04-23,100,45,40,15,0.45,0.4,0.15,35.0,0.25,100,15,21,64,0.15,0.21,0.64,74.5,0.810126582278481,39.5,-0.30000000000000004,0.49,80.0,2.2415791299458358e-10,paired item bootstrap,0,30.5,48.5,-0.4,-0.19999999999999998,0.38000000000000006,0.5900000000000001,1.569105390962085e-09
claude-opus-4-7default,100,50,38,12,0.5,0.38,0.12,31.0,0.1935483870967742,100,18,27,55,0.18,0.27,0.55,68.5,0.7534246575342466,37.5,-0.32,0.43000000000000005,9.0,1.0319651295419464e-09,paired item bootstrap,4,28.500000000000004,46.5,-0.41999999999999993,-0.22000000000000003,0.33,0.53,4.81583727119575e-09
google_gemini-3.1-pro-preview,100,27,65,8,0.27,0.65,0.08,40.5,0.22857142857142856,100,10,31,59,0.1,0.31,0.59,74.5,0.855072463768116,34.0,-0.17,0.51,19.5,6.606394582240262e-11,paired item bootstrap,1,27.0,41.0,-0.25,-0.09,0.41000000000000003,0.61,9.248952415136367e-10
z-ai_glm-5.1,100,26,62,12,0.26,0.62,0.12,43.0,0.3157894736842105,100,7,50,43,0.07,0.5,0.43,68.0,0.86,25.0,-0.19,0.31,66.0,8.779955566285583e-08,paired item bootstrap,200,17.5,32.5,-0.2802499999999998,-0.09999999999999999,0.22,0.4,2.458387558559963e-07
Kimi-K2.6,100,28,66,6,0.28,0.66,0.06,39.0,0.17647058823529413,100,13,47,40,0.13,0.47,0.4,63.5,0.7547169811320755,24.5,-0.15000000000000002,0.34,34.0,1.8498248377738126e-08,paired item bootstrap,200,17.5,31.5,-0.23,-0.07,0.25,0.43000000000000005,6.474386932208345e-08
claude-sonnet-4-6default,100,41,51,8,0.41,0.51,0.08,33.5,0.16326530612244897,100,22,41,37,0.22,0.41,0.37,57.49999999999999,0.6271186440677966,24.0,-0.18999999999999997,0.29,40.5,2.36984938500352e-07,paired item bootstrap,0,16.5,31.5,-0.28,-0.10999999999999999,0.19999999999999998,0.38,4.739698770007041e-07
deepseek-v4-flash,100,29,68,3,0.29,0.68,0.03,37.0,0.09375,100,14,56,30,0.14,0.56,0.3,57.99999999999999,0.6818181818181818,21.000000000000004,-0.14999999999999997,0.27,25.0,6.89344800698627e-07,paired item bootstrap,0,14.499999999999998,28.000000000000004,-0.23,-0.07,0.18000000000000002,0.36,1.2063534012225971e-06
gpt-5.4-2026-03-05,100,43,55,2,0.43,0.55,0.02,29.500000000000004,0.044444444444444446,100,16,67,17,0.16,0.67,0.17,50.5,0.5151515151515151,21.0,-0.27,0.15000000000000002,49.5,2.2130924629869498e-07,paired item bootstrap,1,14.000000000000002,27.999999999999996,-0.37,-0.17999999999999997,0.07999999999999999,0.23,4.739698770007041e-07
deepseek-r1-0528,100,30,70,0,0.3,0.7,0.0,35.0,0.0,100,14,67,19,0.14,0.67,0.19,52.5,0.5757575757575758,17.5,-0.15999999999999998,0.19,28.0,1.2794909519750917e-06,paired item bootstrap,200,11.5,24.0,-0.24000000000000002,-0.07999999999999999,0.12,0.27,1.9903192586279208e-06
deepseek-v4-pro,100,36,59,5,0.36,0.59,0.05,34.5,0.12195121951219512,100,27,55,18,0.27,0.55,0.18,45.5,0.4,11.0,-0.08999999999999997,0.13,234.0,0.0026906362061516202,paired item bootstrap,200,4.499999999999998,18.0,-0.19,0.010000000000000009,0.05,0.21000000000000002,0.0037668906886122685
Baichuan-M3,100,10,90,0,0.1,0.9,0.0,45.0,0.0,100,3,92,5,0.03,0.92,0.05,51.0,0.625,6.000000000000001,-0.07,0.05,5.5,0.004896949924930728,paired item bootstrap,0,2.5,10.5,-0.13,-0.019999999999999997,0.01,0.1,0.006232481722639108
gemini-2.5-flash,100,11,88,1,0.11,0.88,0.01,45.0,0.08333333333333333,100,5,91,4,0.05,0.91,0.04,49.5,0.4444444444444444,4.500000000000001,-0.06,0.03,12.0,0.020136751550346346,paired item bootstrap,0,1.0,8.5,-0.12,-0.009999999999999995,-0.01,0.08,0.023492876808737406
minimaxai-minimax-m2.7,100,16,83,1,0.16,0.83,0.01,42.5,0.058823529411764705,100,10,90,0,0.1,0.9,0.0,45.0,0.0,2.4999999999999996,-0.06,-0.01,24.0,0.19670560245894686,paired item bootstrap,0,-1.5,6.000000000000001,-0.13,0.009999999999999981,-0.03,0.0,0.19670560245894686
gpt-5.4-nano-2026-03-17,100,8,92,0,0.08,0.92,0.0,46.0,0.0,100,4,96,0,0.04,0.96,0.0,48.0,0.0,2.0,-0.04,0.0,3.5,0.10247043485974945,paired item bootstrap,0,0.0,4.5,-0.09,0.0,0.0,0.0,0.1103527760028071
